name,install_type,quantity,power
 boles\uc0\u322 awiecki,sewage treatment plant biogas power-stations,1,0.180 
 boles\uc0\u322 awiecki,hydro-electric power-station capacity up to 1 MW,5,2.885 
 dzier\uc0\u380 oniowski,sewage treatment plant biogas power-stations,2,0.200 
 dzier\uc0\u380 oniowski,dump biogas power-stations,1,0.750 
 g\uc0\u322 ogowski,sewage treatment plant biogas power-stations,1,0.410 
 g\uc0\u322 ogowski,photovoltaic power-stations,1,0.100 
 g\uc0\u243 rowski,agricultural biogas power-stations,1,0.600 
 g\uc0\u243 rowski,onshore wind power-station,1,5.000 
 jaworski,onshore wind power-station,2,2.160 
 Jelenia G\uc0\u243 ra,photovoltaic power-stations,1,0.010 
 Jelenia G\uc0\u243 ra,hydro-electric power-station capacity up to 1 MW,2,1.320 
 jeleniog\uc0\u243 rski,"hydro-electric power-station capacity up to 0,3 MW",12,2.180 
 jeleniog\uc0\u243 rski,hydro-electric power-station capacity up to 5 MW,2,7.132 
 kamiennog\uc0\u243 rski,"hydro-electric power-station capacity up to 0,3 MW",2,0.290 
 k\uc0\u322 odzki,"hydro-electric power-station capacity up to 0,3 MW",15,1.434 
 Legnica,sewage treatment plant biogas power-stations,1,0.382 
 Legnica,photovoltaic power-stations,2,0.200 
 legnicki,agricultural biogas power-stations,1,0.999 
 legnicki,onshore wind power-station,1,45.100 
 luba\uc0\u324 ski,photovoltaic power-stations,1,0.010 
 luba\uc0\u324 ski,hydro-electric power-station capacity up to 5 MW,2,7.030 
 lubi\uc0\u324 ski,dump biogas power-stations,2,3.180 
 lubi\uc0\u324 ski,co-fired technology (fossil fuel and biomass),1,0.000 
 lw\uc0\u243 wecki,"hydro-electric power-station capacity up to 0,3 MW",6,1.105 
 lw\uc0\u243 wecki,hydro-electric power-station capacity up to 5 MW,2,3.008 
 milicki,"hydro-electric power-station capacity up to 0,3 MW",1,0.090 
 ole\uc0\u347 nicki,sewage treatment plant biogas power-stations,1,0.320 
 o\uc0\u322 awski,dump biogas power-stations,1,0.400 
 o\uc0\u322 awski,onshore wind power-station,3,9.200 
 o\uc0\u322 awski,hydro-electric power-station capacity up to 5 MW,1,3.200 
 polkowicki,agricultural biogas power-stations,1,0.499 
 strzeli\uc0\u324 ski,agricultural biogas power-stations,1,2.000 
 \uc0\u347 widnicki,sewage treatment plant biogas power-stations,2,0.487 
 \uc0\u347 widnicki,dump biogas power-stations,2,0.970 
 \uc0\u347 widnicki,onshore wind power-station,1,0.900 
 \uc0\u347 widnicki,hydro-electric power-station capacity up to 5 MW,1,1.250 
 trzebnicki,photovoltaic power-stations,1,0.020 
 wa\uc0\u322 brzyski,photovoltaic power-stations,2,0.029 
 wo\uc0\u322 owski,hydro-electric power-station capacity up to 10 MW,1,9.720 
 Wroc\uc0\u322 aw,sewage treatment plant biogas power-stations,1,1.803 
 Wroc\uc0\u322 aw,hydro-electric power-station capacity up to 1 MW,2,1.385 
 Wroc\uc0\u322 aw,co-fired technology (fossil fuel and biomass),1,0.000 
 wroc\uc0\u322 awski,agricultural biogas power-stations,2,1.726 
 wroc\uc0\u322 awski,"hydro-electric power-station capacity up to 0,3 MW",4,0.217 
 z\uc0\u261 bkowicki,hydro-electric power-station capacity up to 1 MW,2,1.040 
 zgorzelecki,sewage treatment plant biogas power-stations,1,0.240 
 zgorzelecki,"hydro-electric power-station capacity up to 0,3 MW",3,0.162 
 zgorzelecki,co-fired technology (fossil fuel and biomass),1,0.000 
 z\uc0\u322 otoryjski,onshore wind power-station,3,64.000 
 aleksandrowski,photovoltaic power-stations,2,0.140 
 brodnicki,onshore wind power-station,18,21.785 
 bydgoski,photovoltaic power-stations,1,0.024 
 bydgoski,"hydro-electric power-station capacity up to 0,3 MW",3,0.172 
 bydgoski,hydro-electric power-station capacity over 10 MW,1,26.000 
 Bydgoszcz,sewage treatment plant biogas power-stations,1,1.022 
 Bydgoszcz,"hydro-electric power-station capacity up to 0,3 MW",2,0.145 
 Bydgoszcz,hydro-electric power-station capacity up to 5 MW,1,4.000 
 che\uc0\u322 mi\uc0\u324 ski,onshore wind power-station,19,16.910 
 golubsko-dobrzy\uc0\u324 ski,"biomass power-stations fired forest, agricultural, garden waste",1,3.200 
 golubsko-dobrzy\uc0\u324 ski,"hydro-electric power-station capacity up to 0,3 MW",3,0.076 
 Grudzi\uc0\u261 dz,photovoltaic power-stations,1,0.096 
 Grudzi\uc0\u261 dz,co-fired technology (fossil fuel and biomass),1,0.000 
 grudzi\uc0\u261 dzki,agricultural biogas power-stations,1,1.600 
 grudzi\uc0\u261 dzki,photovoltaic power-stations,1,1.500 
 grudzi\uc0\u261 dzki,"hydro-electric power-station capacity up to 0,3 MW",4,0.302 
 inowroc\uc0\u322 awski,sewage treatment plant biogas power-stations,1,0.320 
 inowroc\uc0\u322 awski,"biomass power-stations fired forest, agricultural, garden waste",1,4.200 
 inowroc\uc0\u322 awski,onshore wind power-station,35,46.920 
