y Effekt (kW);Fabrikat;Nr Anläggning Placering D/H I drift;Ber;2013 2014 2015 12mån 12mån Månad Tid Hindertid (tim);;;;;;;;;;;;;;
Hög Låg;;Benämning;  Ort Karta (m);MWh;MWh MWh MWh MWh  % MWh % AHT MS YNS  ÖYS PU Ö;;;;;;;;;;;;;
95 20;Tellus;37 Södra Bäckebo;Ålem G5c 19/41 920225;110;59 63 67 67 96;1 8 72 0;;;;;;;;;;;;
100;Vestas;501 Seglaberga I;Laholm C4e 20/24 880927;205;101 116 165 165 100 31 76 0;;;;;;;;;;;;;
150;WindWorld;15 Snaigsto;Näs I5i 28/31 900202;455;274 235 207 207 100;;;;;;;;;;;;;
150;WindWorld;16 Tjautet;Näs I5i 28/31 900203;455;94 231 234 234 100 39 69;;;;;;;;;;;;;
150;WindWorld;73 Arendala;Lund C2f 27/40 930522;416;371 417 133 133 100;;;;;;;;;;;;;
150;WindWorld;107 Stureholms gård;Ödåkra C3d 27/41 940801;380;268 320 371 371 100 48 71;;;;;;;;;;;;;
150;WindWorld;144 Nygården 4:1;Nygården C9a 27/41 950927;260;71 224 150 150 100;;;;;;;;;;;;;
225 50;Vestas;34 Vitsippan;Grönhögen G3i 27/30 911210;580;393 511 591 591 95;9 87 92 20;;;;;;;;;;;;
225 50;Vestas;54 Elmer I;Mosås F10a 27/31 920626;280;203 194 289 289 97;7 47 74 1;;;;;;;;;;;;
225 50;Vestas;63 Bösarp;Bösarp C1i 27/25 921215;472;414 461 507 507 99;2 72 95 1;;;;;;;;;;;;
225 50;Vestas;65 August;Visingsö E7g 27/31 930107;480;320 324 394 394 84;1 53 63 228;;;;;;;;;;;;
225 50;Vestas;68 Kristinelund 1;Ventlinge G3i 27/31 930109;580;545 573 670 670 85;7 93 93 4;;;;;;;;;;;;
225 50;Vestas;69 Kristinelund 2;Ventlinge G3i 27/31 930109;580;509 562 645 645 85;1 91 93 0;;;;;;;;;;;;
225 50;Vestas;70 Kristinelund 3;Ventlinge G3i 27/31 930109;580;539 566 626 626 85;2 72 73 148;;;;;;;;;;;;
225 50;Vestas;82 Gumman;Simris E2a 27/32 930923;480;502 529 503 503 99;4;;;;;;;;;;;;
225 50;Vestas;83 Berta;Simris E2a 27/32 930923;480;501 475 468 468 96;2;;;;;;;;;;;;
225 50;Vestas;96 Viktor;Simris E2a 27/32 940112;480;492 518 479 479 98;5;;;;;;;;;;;;
225 50;Vestas;97 Almetorps Säteri;Lavad C8e 27/32 940202;320;211 189 275 275 98;4 40 0;;;;;;;;;;;;
225 50;Vestas;106 Kristinelund Nord;Ventlinge G3i 27/31 940718;600;476 564 604 604 83;3 85 89 0;;;;;;;;;;;;
225 50;Vestas;111 Hällemöllan 1;Rönnäng A7f 29/32 941021;600;587 596 672 672 96;5 78 78 79;;;;;;;;;;;;
225 50;Vestas;112 Rosendal;Rosendal B5f 27/31 940930;500;389 423 521 521 99;4 72 91 12;;;;;;;;;;;;
225 50;Vestas;113 Elvira;Kistinge C4e 27/31 940623;384;303 286 309 309 96;1;;;;;;;;;;;;
225 50;Vestas;116 Sibylla af Ängholmen;Ängh A7f 29/31 941020;570;553 584 709 709 98;4 92 88 23;;;;;;;;;;;;
225 50;Vestas;119 Hägvards;Hall J7e 29/31 941215;410;287 226 89 89 98;1;;;;;;;;;;;;
225 50;Vestas;136 Nuntorpsskolan;Brålanda B8i 29/31 950824;325;202 223 268 268 91;1 17 35 407;;;;;;;;;;;;
225 50;Vestas;148 Önaholms Gård 5;Tveta C10b 29/34 951108;417;365 449 568 568 99 79 85 6;;;;;;;;;;;;;
225 50;Vestas;200 Lunden;Gärdhem B8c 29/30 960701;330;234 222 292 292 98;6 47 70 0;;;;;;;;;;;;
225 50;Vestas;215 Kälvene;Kälvene D7h 29/31 960828;330;264 298 180 180 99;7;;;;;;;;;;;;
